# om	S8	As*1e9
2.182030367568261187e-01 9.149944491613901665e-01 6.391797139575828623e+00
3.307046967036627594e-01 8.396479237229925729e-01 4.229779529775436586e+00
1.576205776744581954e-01 5.763221966482181546e-01 4.193184083464039702e+00
2.301035799001608650e-01 8.429519670547332977e-01 5.518205566494355452e+00
4.024586391676463482e-01 7.072050814538779484e-01 2.732771837300778994e+00
2.811138798994322063e-01 6.213770301600679558e-01 2.980723925227727111e+00
2.973476802265167529e-01 9.145448107128275606e-01 5.170834496173920769e+00
2.207645629510249230e-01 6.785774419967935955e-01 4.161037196206157418e+00
3.909432355274373161e-01 6.564181843490332069e-01 2.451298276604080062e+00
4.581547565546283396e-01 6.048157964032995215e-01 1.773723088188803310e+00
4.264964447123145153e-01 8.696220816134234699e-01 3.672771904367640783e+00
2.484660222700565413e-01 6.777363129141620313e-01 3.794389065226318802e+00
4.098541283881613762e-01 9.234430165133020729e-01 4.153267265266933350e+00
3.439207318602129360e-01 8.277277125154324233e-01 4.018850807083353516e+00
1.482736901956278608e-01 6.672300938280171234e-01 5.411992130610249419e+00
3.663684339482894403e-01 5.769185336318740642e-01 2.032063752354989372e+00
3.540353815646282154e-01 7.145137133425405462e-01 3.105935483394417052e+00
4.470108114828765800e-01 5.941549087676423202e-01 1.752584938772712153e+00
3.536223345029096410e-01 7.854885529952306822e-01 3.626398450272305229e+00
3.123208373877977562e-01 8.260581917572460409e-01 4.307988278615347610e+00
3.212430489534957578e-01 6.878778146272188643e-01 3.161456447508238288e+00
1.232777062922474354e-01 7.735096351712982266e-01 7.450695562612233758e+00
4.482276914097633735e-01 7.635406015458626738e-01 2.844180762994706679e+00
2.542807815517849623e-01 8.646450278109120147e-01 5.333487682815064801e+00
1.193738120351350296e-01 6.053307693896516906e-01 5.495384521182966608e+00
3.249423396957175081e-01 6.683081296072885813e-01 2.982590718732744062e+00
1.126069765855743365e-01 9.173876075247706652e-01 9.751730481229337499e+00
1.734204547169728716e-01 8.826808212180053959e-01 7.088932824453145543e+00
3.541270428714911600e-01 8.483752528544425964e-01 4.080448497752417580e+00
3.389950233860881124e-01 8.270238887712557663e-01 4.057904362968260514e+00
9.022960311949168588e-02 5.922470332487541622e-01 6.447515891169746993e+00
1.153373974162542337e-01 9.085150447144918484e-01 9.497345521670249369e+00
3.020166684619050579e-01 6.819296957919653845e-01 3.279422971979312873e+00
4.105458239750078286e-01 7.951764525316932231e-01 3.280148190057860180e+00
3.136954037713036714e-01 6.220489812160593379e-01 2.714842129780938418e+00
9.034975578151954734e-02 6.813411833455903510e-01 7.726813086619788606e+00
1.400359539007903498e-01 7.076713298861403434e-01 6.098291776710802026e+00
4.340724140703188239e-01 7.350089229386589373e-01 2.736409489574624043e+00
1.589204503689399528e-01 8.202299509660401222e-01 6.819844361642688924e+00
1.530198164758959090e-01 7.014803452595064215e-01 5.674155357239941466e+00
4.230661749131733318e-01 5.908538622934224049e-01 1.838106650460167746e+00
4.386082680158687186e-01 9.464642030759733426e-01 4.095513852300435076e+00
4.535612503216755464e-01 6.953537954884564387e-01 2.376096121487676793e+00
9.805157186830573690e-02 8.318518463930730800e-01 9.416758270087546734e+00
2.303305479808336609e-01 7.065371705491768628e-01 4.282205603550940154e+00
3.750659721681107728e-01 8.080396798297305727e-01 3.619925893093790759e+00
1.883106948585319129e-01 8.211164754459596704e-01 6.103115374212629618e+00
1.185380333675674358e-01 8.573620868016915697e-01 8.695604420499975618e+00
3.101131461647721466e-01 7.792914094667258151e-01 3.966683619372840308e+00
4.126243578210988527e-01 7.362670750868958169e-01 2.869005708395594656e+00
3.556162506412620661e-01 9.663236679551676644e-01 4.924952044989741040e+00
1.194164745236491743e-01 7.469129989159826177e-01 7.270212532293342633e+00
3.566550091425197966e-01 5.817336440615232807e-01 2.122907456701438544e+00
3.683779282123526566e-01 7.721420658342199594e-01 3.415208802718331160e+00
1.892744706263972121e-01 6.177228689484557389e-01 4.055441472337069087e+00
2.150116186385367389e-01 7.952207709736688335e-01 5.334783003653559064e+00
3.066279725363634800e-01 7.679629103858625072e-01 3.912372873098376669e+00
9.350038531496540628e-02 6.720500908303391752e-01 7.428104033430049213e+00
3.755168828756538790e-01 9.380237342267041534e-01 4.536065135492055589e+00
2.811486703087261452e-01 8.635041897026658475e-01 4.960053282885219517e+00
1.161694329490460809e-01 8.705141945658361191e-01 8.972392409175339978e+00
2.495852711595739071e-01 9.338205373162519196e-01 6.003366679399714911e+00
2.522513656675098304e-01 9.588523493871061731e-01 6.176496203644518346e+00
3.326337848091726057e-01 7.881037418676763995e-01 3.823955089335202562e+00
2.911964238964690477e-01 7.453729950854353081e-01 3.888143264127220444e+00
3.126593479943325926e-01 6.356298306529366560e-01 2.828106769581709035e+00
1.380330454757331959e-01 8.217313829899441924e-01 7.488482613035374769e+00
2.278766740405658575e-01 9.058614308379988600e-01 6.126656794007592666e+00
1.672405295575632722e-01 6.312903782841028377e-01 4.592215996008421897e+00
1.279725484166817639e-01 5.959623315987890857e-01 5.122240526679615158e+00
2.002640230400433707e-01 6.465094418290185940e-01 4.163036608534264715e+00
