# seed	om	si8	S8	As*1e9
0.000000000000000000e+00 2.182030367568261187e-01 2.739221420877085977e-01 9.149944491613901665e-01 6.391797139575828623e+00
1.000000000000000000e+00 3.307046967036627594e-01 3.372227964041190629e-01 8.396479237229925729e-01 4.229779529775436586e+00
2.000000000000000000e+00 1.576205776744581954e-01 2.328108419416989039e-01 5.763221966482181546e-01 4.193184083464039702e+00
3.000000000000000000e+00 2.301035799001608650e-01 2.812926805881834635e-01 8.429519670547332977e-01 5.518205566494355452e+00
4.000000000000000000e+00 4.024586391676463482e-01 3.720123615194860789e-01 7.072050814538779484e-01 2.732771837300778994e+00
5.000000000000000000e+00 2.811138798994322063e-01 3.109122893624330919e-01 6.213770301600679558e-01 2.980723925227727111e+00
6.000000000000000000e+00 2.973476802265167529e-01 3.197635975285727516e-01 9.145448107128275606e-01 5.170834496173920769e+00
7.000000000000000000e+00 2.207645629510249230e-01 2.755252625703161762e-01 6.785774419967935955e-01 4.161037196206157418e+00
8.000000000000000000e+00 3.909432355274373161e-01 3.666516092602654098e-01 6.564181843490332069e-01 2.451298276604080062e+00
9.000000000000000000e+00 4.581547565546283396e-01 3.969198731509637756e-01 6.048157964032995215e-01 1.773723088188803310e+00
1.000000000000000000e+01 4.264964447123145153e-01 3.829609145560753936e-01 8.696220816134234699e-01 3.672771904367640783e+00
1.100000000000000000e+01 2.484660222700565413e-01 2.923009640249259466e-01 6.777363129141620313e-01 3.794389065226318802e+00
1.200000000000000000e+01 4.098541283881613762e-01 3.754148096615566033e-01 9.234430165133020729e-01 4.153267265266933350e+00
1.300000000000000000e+01 3.439207318602129360e-01 3.438950480099583484e-01 8.277277125154324233e-01 4.018850807083353516e+00
1.400000000000000000e+01 1.482736901956278608e-01 2.258025240198627548e-01 6.672300938280171234e-01 5.411992130610249419e+00
1.500000000000000000e+01 3.663684339482894403e-01 3.549406726942957446e-01 5.769185336318740642e-01 2.032063752354989372e+00
1.600000000000000000e+01 3.540353815646282154e-01 3.489153510923974078e-01 7.145137133425405462e-01 3.105935483394417052e+00
1.700000000000000000e+01 4.470108114828765800e-01 3.920629086953530407e-01 5.941549087676423202e-01 1.752584938772712153e+00
1.800000000000000000e+01 3.536223345029096410e-01 3.487117548872718520e-01 7.854885529952306822e-01 3.626398450272305229e+00
1.900000000000000000e+01 3.123208373877977562e-01 3.277156822087617383e-01 8.260581917572460409e-01 4.307988278615347610e+00
2.000000000000000000e+01 3.212430489534957578e-01 3.323637218476532262e-01 6.878778146272188643e-01 3.161456447508238288e+00
2.100000000000000000e+01 1.232777062922474354e-01 2.058917839890094803e-01 7.735096351712982266e-01 7.450695562612233758e+00
2.200000000000000000e+01 4.482276914097633735e-01 3.925961947137938113e-01 7.635406015458626738e-01 2.844180762994706679e+00
2.300000000000000000e+01 2.542807815517849623e-01 2.957014899490674198e-01 8.646450278109120147e-01 5.333487682815064801e+00
2.400000000000000000e+01 1.193738120351350296e-01 2.026055208299783750e-01 6.053307693896516906e-01 5.495384521182966608e+00
2.500000000000000000e+01 3.249423396957175081e-01 3.342719197945854259e-01 6.683081296072885813e-01 2.982590718732744062e+00
2.600000000000000000e+01 1.126069765855743365e-01 1.967792917320957125e-01 9.173876075247706652e-01 9.751730481229337499e+00
2.700000000000000000e+01 1.734204547169728716e-01 2.442006998935282724e-01 8.826808212180053959e-01 7.088932824453145543e+00
2.800000000000000000e+01 3.541270428714911600e-01 3.489605160231153969e-01 8.483752528544425964e-01 4.080448497752417580e+00
2.900000000000000000e+01 3.389950233860881124e-01 3.414234962555045549e-01 8.270238887712557663e-01 4.057904362968260514e+00
3.000000000000000000e+01 9.022960311949168588e-02 1.761453843453463508e-01 5.922470332487541622e-01 6.447515891169746993e+00
3.100000000000000000e+01 1.153373974162542337e-01 1.991506910219582316e-01 9.085150447144918484e-01 9.497345521670249369e+00
